Song Title,Performer(s),Places Mentioned in Text,Place Performed/Recorded,Place Published,Date Recorded/ Composed,Collector(s),Source,Source Publication Date,File Name/Location,English Translation,Comments
Corrido del Enamorado,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-05/ed-1/seq-34/ocr/,"September 5, 1937",https://docs.google.com/document/d/1WpEbpN3Qli6-DJfayAHAf7pcnsieaYuhAh6OTOgu4UI/edit,,Published in La Opinión
Corrido de los Parranderos,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-05/ed-1/seq-34/ocr/,"September 5, 1937",https://docs.google.com/document/d/1ODGfZvY4rmW53rg_AISuZrErWSgKR-Nyu8rwhDcqoPg/edit,,Published in La Opinión
Corrido del Negro de Oro,,"Oaxaca, Mexico; Jalisco, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-05/ed-1/seq-34/ocr/,"September 5, 1937",https://docs.google.com/document/d/1xMAZ0_jGYrPfFH50c33veRjSqlLBvYneW7GXQBqLeW0/edit,,Published in La Opinión
Corrido de Juan R. Escudero,,"Acapulco, Mexico; Aguacatillo, Mexico; San Luis, Mexico; Cacalutla, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-05/ed-1/seq-34/ocr/,"September 5, 1937",https://docs.google.com/document/d/1S3np6qblsem4iQ17BEuRYBctSsbvV8V1Ums-E-SBGWQ/edit,,Published in La Opinión
Corrido de Severo Isidor,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-19/ed-1/seq-34/ocr/,"September 19, 1937",https://docs.google.com/document/d/1dGw5f_d_Ue0U0kIPDuFFGWlAXLLPN5G95FLCOCuzdjU/edit,,Published in La Opinión
Corrido de Los Rurales,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-19/ed-1/seq-34/ocr/,"September 19, 1937",https://docs.google.com/document/d/1niJZ-aRUVgOCuoHXfuKqmopMoTsvCFsw9LSnmtlUeAQ/edit,,Published in La Opinión
Corrido de Valente Torre,,"San Juan del Rio, Mexico; Villa de Rosales; Puebla, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-19/ed-1/seq-34/ocr/,"September 19, 1937",https://docs.google.com/document/d/15YzR2CkHgeE1ITbfRwFWk3aIRohRpXhCowM4sNfMDLc/edit,,Published in La Opinión
Corrido del Gral Lazaro Cardenas Francisco M Chavez,,"Apatzingan, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-02-23/ed-1/seq-33/ocr/,"February 23, 1936",https://docs.google.com/document/d/1mz0XerV9tskIcdWqP81SdV3siYlw2VntMUiyKn_gNb4/edit,,Published in La Opinión
Corrido de la Batalla de Ocotlán,,"Ocotlán, Mexico; Puebla, Mexico; Panzacola, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-11-07/ed-1/seq-34/ocr/,"November 7, 1937",https://docs.google.com/document/d/1hnoaj5SKm1rlzhDf9zO3BVh2-e_rT8QBSSqT1JjPNKI/edit,,Published in La Opinión
Corrido de Macario Romero,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-11-07/ed-1/seq-34/ocr/,"November 7, 1937",https://docs.google.com/document/d/15CLk61f4wPiclMokGG9yYeDuy8bU9bzol0pEm-oeaxM/edit,,Published in La Opinión
